Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
369,339,156,12/9/2022,1,31.68
262,224,376,12/11/2022,6,175.56
444,155,5,12/12/2022,7,76.65
140,295,164,12/13/2022,1,41.83
471,79,7,12/13/2022,5,218.15
273,357,119,12/14/2022,8,399.04
223,213,31,12/17/2022,10,212.30
277,276,292,12/18/2022,1,26.94
105,125,306,12/20/2022,2,87.84
464,392,463,12/20/2022,1,11.99
393,279,307,12/24/2022,8,115.44
402,199,323,12/25/2022,8,286.64
399,318,393,12/27/2022,9,396.00
112,309,403,12/28/2022,2,30.02
217,414,142,12/28/2022,2,97.92
309,185,227,12/29/2022,8,305.36
253,449,273,1/3/2023,3,37.29
343,75,124,1/3/2023,7,189.70
275,495,31,1/5/2023,2,42.46
284,325,466,1/6/2023,4,148.68
317,400,88,1/6/2023,10,402.20
259,437,77,1/8/2023,2,88.56
101,154,344,1/9/2023,1,39.63
15,127,479,1/10/2023,6,229.62
330,265,65,1/10/2023,10,227.00
168,324,36,1/11/2023,10,345.10
171,364,397,1/12/2023,10,281.50
338,165,486,1/13/2023,2,38.26
118,37,189,1/14/2023,3,40.95
120,101,338,1/14/2023,1,10.17
249,131,189,1/15/2023,8,109.20
465,337,414,1/16/2023,7,157.85
181,8,117,1/18/2023,3,44.61
397,368,73,1/19/2023,6,127.38
180,460,227,1/20/2023,7,267.19
372,290,57,1/21/2023,3,70.77
2,137,301,1/23/2023,10,216.60
117,385,52,1/24/2023,7,115.71
358,474,45,1/30/2023,8,203.92
324,306,214,1/31/2023,7,127.12
179,325,52,2/1/2023,9,148.77
485,140,230,2/4/2023,5,30.50
59,225,188,2/11/2023,7,140.98
425,98,308,2/14/2023,6,124.50
490,173,93,2/15/2023,9,156.87
428,214,175,2/16/2023,10,328.50
406,438,78,2/17/2023,10,130.70
122,136,56,2/19/2023,6,47.22
308,499,485,2/19/2023,10,231.60
458,160,127,2/19/2023,6,69.96
489,211,471,2/22/2023,5,226.90
347,2,118,2/23/2023,3,16.56
92,329,325,2/24/2023,5,202.00
351,425,219,2/26/2023,8,167.20
365,301,200,2/28/2023,7,69.72
433,37,223,3/1/2023,6,39.12
340,460,222,3/2/2023,8,236.72
376,360,320,3/2/2023,7,35.49
475,284,161,3/2/2023,7,151.20
363,153,91,3/4/2023,2,55.64
82,413,387,3/8/2023,5,237.10
185,15,25,3/9/2023,6,51.30
133,232,458,3/13/2023,4,149.12
188,46,425,3/13/2023,1,24.23
85,75,31,3/14/2023,9,191.07
348,239,158,3/19/2023,7,172.83
352,178,436,3/19/2023,7,111.30
17,462,481,3/20/2023,5,52.75
68,246,319,3/21/2023,10,426.10
205,279,457,3/21/2023,2,56.44
315,281,119,3/22/2023,8,399.04
474,194,138,3/24/2023,9,222.93
160,255,85,3/27/2023,3,58.29
193,474,36,3/31/2023,7,241.57
495,216,497,3/31/2023,3,72.30
421,56,183,4/1/2023,5,77.00
134,94,222,4/2/2023,7,207.13
476,387,379,4/2/2023,5,28.50
186,167,120,4/3/2023,7,336.21
196,214,468,4/3/2023,7,214.13
367,497,309,4/4/2023,5,58.70
383,145,8,4/4/2023,3,146.97
74,461,132,4/8/2023,10,204.60
396,59,424,4/9/2023,6,243.00
435,13,230,4/14/2023,8,48.80
349,159,73,4/15/2023,2,42.46
88,126,262,4/16/2023,5,105.10
255,217,406,4/19/2023,4,143.16
453,22,418,4/19/2023,8,255.04
67,260,129,4/20/2023,9,366.66
99,166,250,4/20/2023,3,37.95
286,96,264,4/23/2023,2,41.02
312,209,208,4/23/2023,10,250.00
497,328,272,4/25/2023,10,51.60
60,404,49,4/26/2023,9,445.50
486,322,110,4/26/2023,2,60.30
110,7,16,4/30/2023,1,10.07
